Morphospecies,Size,Trophic level,Order
Actinopodidae1,10,Predator,Araneae
Ammoxenidae1,2.5,Predator,Araneae
Ammoxenidae2,0,Predator,Araneae
Araneidae1,2.5,Predator,Araneae
Araneidae2,10,Predator,Araneae
Clubiniodae1,0,Predator,Araneae
Clubionidae2,2.5,Predator,Araneae
Corinnidae1,2.5,Predator,Araneae
Corinnidae2,0,Predator,Araneae
Dictynidae1,0,Predator,Araneae
Dictynidae2,2.5,Predator,Araneae
Dictynidae3,2.5,Predator,Araneae
Gnaphosidae1,0,Predator,Araneae
Gnaphosidae2,0,Predator,Araneae
Gnaphosidae3,2.5,Predator,Araneae
Lamponidae1,2.5,Predator,Araneae
Lamponidae2,2.5,Predator,Araneae
Lamponidae3,2.5,Predator,Araneae
Lamponidae4,2.5,Predator,Araneae
Lycosidae01,0,Predator,Araneae
Lycosidae02,10,Predator,Araneae
Lycosidae03,0,Predator,Araneae
Lycosidae04,5,Predator,Araneae
Lycosidae05,2.5,Predator,Araneae
Lycosidae06,15,Predator,Araneae
Lycosidae07,15,Predator,Araneae
Lycosidae08,10,Predator,Araneae
Lycosidae09,2.5,Predator,Araneae
Lycosidae10,2.5,Predator,Araneae
Lycosidae11,0,Predator,Araneae
Lycosidae12,2.5,Predator,Araneae
Mysmenidae1,0,Predator,Araneae
Mysmenidae2,0,Predator,Araneae
Oonopidae1,0,Predator,Araneae
Oxyopidae1,2.5,Predator,Araneae
Prodidomidae1,2.5,Predator,Araneae
Salticidae1,2.5,Predator,Araneae
Salticidae2,0,Predator,Araneae
Salticidae3,0,Predator,Araneae
Salticidae4,0,Predator,Araneae
Salticidae5,2.5,Predator,Araneae
Salticidae6,0,Predator,Araneae
Stenochilidae1,0,Predator,Araneae
Tetrablemmidae1,0,Predator,Araneae
Tetrablemmidae2,0,Predator,Araneae
Tetrablemmidae3,0,Predator,Araneae
Theridiidae1,0,Predator,Araneae
Theridiidae2,0,Predator,Araneae
Theridiidae3,5,Predator,Araneae
Theridiidae4,0,Predator,Araneae
Theridiidae5,2.5,Predator,Araneae
Theridiidae6,0,Predator,Araneae
Theridiidae7,2.5,Predator,Araneae
Theridiidae8,2.5,Predator,Araneae
Theridiosomatidae1,2.5,Predator,Araneae
Theridiosomatidae2,0,Predator,Araneae
Theridiosomatidae3,0,Predator,Araneae
Theridiosomatidae4,0,Predator,Araneae
Theridiosomatidae5,0,Predator,Araneae
Thomisidae1,5,Predator,Araneae
Thomisidae2,0,Predator,Araneae
Thomisidae3,0,Predator,Araneae
Thomisidae4,2.5,Predator,Araneae
Trochanteriidae1,2.5,Predator,Araneae
Zodariidae01,2.5,Predator,Araneae
Zodariidae02,2.5,Predator,Araneae
Zodariidae03,0,Predator,Araneae
Zodariidae04,5,Predator,Araneae
Zodariidae05,5,Predator,Araneae
Zodariidae06,10,Predator,Araneae
Zodariidae07,2.5,Predator,Araneae
Zodariidae08,5,Predator,Araneae
Zodariidae09,5,Predator,Araneae
Zodariidae10,2.5,Predator,Araneae
Zodariidae11,2.5,Predator,Araneae
Zodariidae12,5,Predator,Araneae
Zodariidae13,0,Predator,Araneae
Blaberidae1,15,Detritivore,Blattodea
Blattidae1,10,Detritivore,Blattodea
Blattidae2,5,Detritivore,Blattodea
Blattidae3,25,Detritivore,Blattodea
Blattidae4,5,Detritivore,Blattodea
Blattidae5,5,Detritivore,Blattodea
Ectobiidae1,5,Detritivore,Blattodea
Ectobiidae2,10,Detritivore,Blattodea
Anthicidae1,0,Herbivore,Coleoptera
Anthicidae2,2.5,Herbivore,Coleoptera
Anthicidae3,0,Herbivore,Coleoptera
Biphyllidae1,2.5,Detritivore,Coleoptera
Byrrhidae1,0,Herbivore,Coleoptera
Cantharidae1,10,Predator,Coleoptera
Carabidae1,5,Predator,Coleoptera
Carabidae2,5,Omnivore,Coleoptera
Carabidae3,10,Predator,Coleoptera
Carabidae4,10,Predator,Coleoptera
Carabidae5,2.5,Omnivore,Coleoptera
Carabidae6,5,Predator,Coleoptera
Carabidae7,5,Predator,Coleoptera
Carabidae8,5,Omnivore,Coleoptera
Carabidae9,20,Predator,Coleoptera
Cassidinae_Hispoid1,2.5,Herbivore,Coleoptera
Chrysomelidae1,2.5,Herbivore,Coleoptera
Coccinellidae1,0,Predator,Coleoptera
Corylophidae1,0,Detritivore,Coleoptera
Corylophidae2,0,Detritivore,Coleoptera
Corylophidae3,0,Detritivore,Coleoptera
Corylophidae4,0,Detritivore,Coleoptera
Curculionidae01,5,Herbivore,Coleoptera
Curculionidae02,5,Herbivore,Coleoptera
Curculionidae03,2.5,Herbivore,Coleoptera
Curculionidae04,5,Herbivore,Coleoptera
Curculionidae05,2.5,Herbivore,Coleoptera
Curculionidae06,2.5,Herbivore,Coleoptera
Curculionidae07,15,Herbivore,Coleoptera
Curculionidae08,5,Herbivore,Coleoptera
Curculionidae09,2.5,Herbivore,Coleoptera
Curculionidae10,0,Herbivore,Coleoptera
Curculionidae11,2.5,Herbivore,Coleoptera
Elateridae1,2.5,Predator,Coleoptera
Elateridae2,5,Herbivore,Coleoptera
Endomychidae1,0,Herbivore,Coleoptera
Larvae1,0,Herbivore,Coleoptera
Larvae2,2.5,Herbivore,Coleoptera
Larvae3,0,Herbivore,Coleoptera
Larvae4,5,Herbivore,Coleoptera
Larvae5,5,Herbivore,Coleoptera
Larvae6,5,Herbivore,Coleoptera
Larvae7,10,Herbivore,Coleoptera
Larvae8,10,Herbivore,Coleoptera
Latridiidae1,0,Detritivore,Coleoptera
Scarabaeoidea1,5,Herbivore,Coleoptera
Scarabaeoidea2,5,Herbivore,Coleoptera
Scarabaeoidea3,5,Herbivore,Coleoptera
Scarabaeoidea4,5,Herbivore,Coleoptera
Scarabaeoidea5,5,Herbivore,Coleoptera
Scarabaeoidea6,2.5,Herbivore,Coleoptera
Scarabaeoidea7,5,Herbivore,Coleoptera
Scirtidae1,2.5,Herbivore,Coleoptera
Staphylinidae1,2.5,Detritivore,Coleoptera
Staphylinidae2,0,Detritivore,Coleoptera
Staphylinidae3,0,Detritivore,Coleoptera
Staphylinidae4,2.5,Detritivore,Coleoptera
Staphylinidae5,10,Detritivore,Coleoptera
Staphylinidae6,0,Omnivore,Coleoptera
Staphylinidae7,0,Omnivore,Coleoptera
Staphylinidae8,2.5,Omnivore,Coleoptera
Tenebrionidae1,5,Omnivore,Coleoptera
Tenebrionidae2,10,Omnivore,Coleoptera
Tenebrionidae3,0,Omnivore,Coleoptera
Tenebrionidae4,10,Omnivore,Coleoptera
Tenebrionidae5,10,Omnivore,Coleoptera
Tenebrionidae6,10,Omnivore,Coleoptera
Tenebrionidae7,5,Omnivore,Coleoptera
Tenebrionidae8,2.5,Omnivore,Coleoptera
Amblyoponinae1,5,Omnivore,Formicidae
Dolichoderinae01,0,Omnivore,Formicidae
Dolichoderinae02,5,Omnivore,Formicidae
Dolichoderinae03,0,Omnivore,Formicidae
Dolichoderinae04,0,Omnivore,Formicidae
Dolichoderinae05,0,Omnivore,Formicidae
Dolichoderinae06,0,Omnivore,Formicidae
Dolichoderinae07,2.5,Omnivore,Formicidae
Dolichoderinae08,0,Omnivore,Formicidae
Dolichoderinae09,2.5,Omnivore,Formicidae
Dolichoderinae10,2.5,Omnivore,Formicidae
Dorylinae1,2.5,Omnivore,Formicidae
Ectatomminae1,2.5,Omnivore,Formicidae
Formicinae01,2.5,Omnivore,Formicidae
Formicinae02,0,Omnivore,Formicidae
Formicinae03,5,Omnivore,Formicidae
Formicinae03.1,2.5,Omnivore,Formicidae
Formicinae03.2,0,Omnivore,Formicidae
Formicinae04,2.5,Omnivore,Formicidae
Formicinae05,2.5,Omnivore,Formicidae
Formicinae06,2.5,Omnivore,Formicidae
Formicinae07,2.5,Omnivore,Formicidae
Formicinae08,0,Omnivore,Formicidae
Formicinae09,5,Omnivore,Formicidae
Formicinae10,5,Omnivore,Formicidae
Formicinae11,5,Omnivore,Formicidae
Formicinae12,2.5,Omnivore,Formicidae
Formicinae13,2.5,Omnivore,Formicidae
Formicinae14,2.5,Omnivore,Formicidae
Formicinae15,10,Omnivore,Formicidae
Formicinae16,0,Omnivore,Formicidae
Formicinae17,2.5,Omnivore,Formicidae
Formicinae18,5,Omnivore,Formicidae
Heteroponerinae1,0,Omnivore,Formicidae
Heteroponerinae2,2.5,Omnivore,Formicidae
Heteroponerinae3,2.5,Omnivore,Formicidae
Heteroponerinae4,2.5,Omnivore,Formicidae
Heteroponerinae5,2.5,Omnivore,Formicidae
Myrmeciinae1,15,Omnivore,Formicidae
Myrmicinae01,0,Omnivore,Formicidae
Myrmicinae02,2.5,Omnivore,Formicidae
Myrmicinae03,0,Omnivore,Formicidae
Myrmicinae04,0,Omnivore,Formicidae
Myrmicinae05,0,Omnivore,Formicidae
Myrmicinae06,0,Omnivore,Formicidae
Myrmicinae07,0,Omnivore,Formicidae
Myrmicinae08,0,Omnivore,Formicidae
Myrmicinae09,5,Omnivore,Formicidae
Myrmicinae10,0,Omnivore,Formicidae
Myrmicinae11,0,Omnivore,Formicidae
Ponerinae1,5,Omnivore,Formicidae
Anostostomatinae1,25,Herbivore,Orthoptera
Caeliferalarvae1,2.5,Herbivore,Orthoptera
Catanopinae1,10,Herbivore,Orthoptera
Catanopinae2,10,Herbivore,Orthoptera
Catanopinae3,15,Herbivore,Orthoptera
Enisferalarvae1,2.5,Herbivore,Orthoptera
Gomphocerinae1,2.5,Herbivore,Orthoptera
Gomphocerinae2,15,Herbivore,Orthoptera
Gomphocerinae3,2.5,Herbivore,Orthoptera
Gomphocerinae4,10,Herbivore,Orthoptera
Gryllinae1,10,Herbivore,Orthoptera
Gryllinae2,5,Herbivore,Orthoptera
Gryllinae3,10,Herbivore,Orthoptera
Gryllotalpinae1,25,Herbivore,Orthoptera
Oedipondinae1,30,Herbivore,Orthoptera
Pyrgomorphinae1,30,Herbivore,Orthoptera
Centipede1,30,Predator,Other
Centipede2,30,Predator,Other
Centipede3,30,Predator,Other
Centipede4,5,Predator,Other
Dermaptera1,10,Omnivore,Other
Diptera_pupae,2.5,NA,Other
Diptera1,0,Omnivore,Other
Diptera2,0,Omnivore,Other
Diptera3,0,Omnivore,Other
Diptera4,2.5,Herbivore,Other
Diptera5,20,Omnivore,Other
Diptera6,2.5,Omnivore,Other
Earthworm,30,Detritivore,Other
Isopoda1,5,Detritivore,Other
Isopoda2,2.5,Detritivore,Other
Isopodajuvenille,0,Detritivore,Other
Isoptera1,2.5,Herbivore,Other
Lepidoptera1,0,Herbivore,Other
Lepidoptera2,2.5,Herbivore,Other
Lepidoptera3,5,Herbivore,Other
Lepidoptera4,15,Herbivore ,Other
Lepidoptera5,2.5,Herbivore,Other
Lepidopteralarvae1,5,Herbivore,Other
Lepidopteralarvae2,10,Herbivore,Other
Lepidopteralarvae3,2.5,Herbivore,Other
Lepidopteralarvae4,25,Herbivore,Other
Lepidopteralarvae5,5,Herbivore,Other
Lepidopteralarvae6,5,Herbivore,Other
Lepidopteralarvae7,5,Herbivore,Other
Mantodea1,10,Predator,Other
Mantodea2,2.5,Predator,Other
Mantodea3,0,Predator,Other
Mantodea4,30,Predator,Other
Mantodea5,5,Predator,Other
Millipede1,20,Detritivore,Other
Millipede2,10,Detritivore,Other
Neuroptera_larvae,2.5,Predator,Other
Pscoptera1,0,Detritivore,Other
Scorpion1,30,Predator,Other
Scorpion2,20,Predator,Other
Slug1,5,Herbivore,Other
Thysanoptera1,0,Herbivore,Other
