Year,Site,Plot,Treatment,Pitfall,Anostostomatinae 1,Caelifera larvae 1,Catanopinae 1,Catanopinae 2,Catanopinae 3,Enisfera larvae 1,Gomphocerinae 1,Gomphocerinae 2,Gomphocerinae 3,Gomphocerinae 4,Gryllinae 1,Gryllinae 2,Gryllinae 3,Gryllotalpinae 1,Oedipondinae 1,Pyrgomorphinae 1
2019,JE,3,Rock,NE,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019,JE,4,Control,NE,0,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0
2019,JE,7,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,JE,8,Rock,NE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JE,3,Rock,NW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,JE,4,Control,NW,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0
2019,JE,7,Control,NW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,JE,8,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JE,3,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JE,4,Control,SE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,JE,7,Control,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JE,8,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,JE,3,Rock,SW,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2019,JE,4,Control,SW,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0
2019,JE,7,Control,SW,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2019,JE,8,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,NE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2019,JW,15,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,JW,16,Control,NE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,25,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,NW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,15,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,16,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,25,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,15,Rock,SE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,JW,16,Control,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,25,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,13,Control,SW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,JW,15,Rock,SW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,JW,16,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,JW,25,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,71,Rock,NE,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
2019,CR,72,Control,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,CR,73,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,74,Rock,NE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,CR,71,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2019,CR,72,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,73,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,74,Rock,NW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,CR,71,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,72,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,73,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,74,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,CR,71,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,CR,72,Control,SW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,CR,73,Control,SW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,CR,74,Rock,SW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,MUL,42,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,43,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,46,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,47,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,42,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,43,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,46,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,47,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,42,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,MUL,43,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,46,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,47,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,42,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,43,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,46,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,MUL,47,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,30,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,31,Rock,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,32,Control,NE,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
2019,K,33,Rock,NE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,K,30,Control,NW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,K,31,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,32,Control,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019,K,33,Rock,NW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,K,30,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,31,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,32,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,33,Rock,SE,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
2019,K,30,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,31,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,K,32,Control,SW,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
2019,K,33,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,JE,3,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,JE,4,Control,NE,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0
2016,JE,7,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JE,8,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,JE,3,Rock,NW,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2016,JE,4,Control,NW,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
2016,JE,7,Control,NW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,JE,8,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JE,3,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
2016,JE,4,Control,SE,0,0,0,0,0,0,0,0,0,0,2,12,0,0,1,0
2016,JE,7,Control,SE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,JE,8,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2016,JE,3,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
2016,JE,4,Control,SW,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
2016,JE,7,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JE,8,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016,JW,13,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,15,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,JW,16,Control,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,25,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,JW,13,Control,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,15,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,16,Control,NW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,JW,25,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,13,Control,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2016,JW,15,Rock,SE,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2016,JW,16,Control,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,25,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,13,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,15,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JW,16,Control,SW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,JW,25,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,CR,71,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2016,CR,72,Control,NE,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2016,CR,73,Control,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,CR,74,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,CR,71,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2016,CR,72,Control,NW,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2016,CR,73,Control,NW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,CR,74,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2016,CR,71,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2016,CR,72,Control,SE,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2016,CR,73,Control,SE,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2016,CR,74,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,CR,71,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2016,CR,72,Control,SW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,CR,73,Control,SW,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2016,CR,74,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2016,MUL,42,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,MUL,43,Control,NE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,MUL,46,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2016,MUL,47,Control,NE,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2016,MUL,42,Rock,NW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,MUL,43,Control,NW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,MUL,46,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,MUL,47,Control,NW,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,MUL,42,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2016,MUL,43,Control,SE,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2016,MUL,46,Rock,SE,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0
2016,MUL,47,Control,SE,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,MUL,42,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,MUL,43,Control,SW,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2016,MUL,46,Rock,SW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016,MUL,47,Control,SW,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
2016,K,30,Control,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2016,K,31,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,K,32,Control,NE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2016,K,33,Rock,NE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,K,30,Control,NW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,K,31,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,K,32,Control,NW,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2016,K,33,Rock,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,K,30,Control,SE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2016,K,31,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2016,K,32,Control,SE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2016,K,33,Rock,SE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,K,30,Control,SW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2016,K,31,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,K,32,Control,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,K,33,Rock,SW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
